"Z-Score","Cumulative Probability P(Z≤z)","Right Tail P(Z>z)","Percentile (%)","Two-Tail Confidence"
1.68,0.9535,0.0465,95.35,90.7%
1.69,0.9545,0.0455,95.45,90.9%
1.7,0.9554,0.0446,95.54,91.1%
1.71,0.9564,0.0436,95.64,91.3%
1.72,0.9573,0.0427,95.73,91.5%
1.73,0.9582,0.0418,95.82,91.6%
1.74,0.9591,0.0409,95.91,91.8%
1.75,0.9599,0.0401,95.99,92.0%
1.76,0.9608,0.0392,96.08,92.2%
1.77,0.9616,0.0384,96.16,92.3%
1.78,0.9625,0.0375,96.25,92.5%
1.79,0.9633,0.0367,96.33,92.7%
1.8,0.9641,0.0359,96.41,92.8%
1.81,0.9649,0.0351,96.49,93.0%
1.82,0.9656,0.0344,96.56,93.1%
1.83,0.9664,0.0336,96.64,93.3%
1.84,0.9671,0.0329,96.71,93.4%
1.85,0.9678,0.0322,96.78,93.6%
1.86,0.9686,0.0314,96.86,93.7%
1.87,0.9693,0.0307,96.93,93.9%
1.88,0.9699,0.0301,96.99,94.0%
1.89,0.9706,0.0294,97.06,94.1%
1.9,0.9713,0.0287,97.13,94.3%
1.91,0.9719,0.0281,97.19,94.4%
1.92,0.9726,0.0274,97.26,94.5%
1.93,0.9732,0.0268,97.32,94.6%
1.94,0.9738,0.0262,97.38,94.8%
1.95,0.9744,0.0256,97.44,94.9%
1.96,0.975,0.0250,97.50,95.0%
1.97,0.9756,0.0244,97.56,-
1.98,0.9761,0.0239,97.61,-
1.99,0.9767,0.0233,97.67,-
2,0.9772,0.0228,97.72,-
2.01,0.9778,0.0222,97.78,-
2.02,0.9783,0.0217,97.83,-
2.03,0.9788,0.0212,97.88,-
2.04,0.9793,0.0207,97.93,-
2.05,0.9798,0.0202,97.98,-
2.06,0.9803,0.0197,98.03,-
2.07,0.9808,0.0192,98.08,-
2.08,0.9812,0.0188,98.12,-
2.09,0.9817,0.0183,98.17,-
2.1,0.9821,0.0179,98.21,-
2.11,0.9826,0.0174,98.26,-
